work_id	workno	score	matched_field
500	VJ011634	1.00	ja
501	VJ011208	1.00	ja
502	VJ010600	1.00	ja
503	VJ011651	1.00	ja
504	VJ011633	1.00	ja
537	VJ015104	1.00	ja
540	VJ011000	1.00	ja
549	VJ011410	0.92	ja
551	VJ002559	0.90	ja
552	VJ004438	1.00	ja
553	VJ007036	1.00	ja
557	VJ007902	1.00	ja
559	VJ009553	1.00	ja
563	VJ008637	1.00	ja
564	VJ006497	1.00	ja
566	VJ004938	0.77	ja
567	VJ012123	1.00	ja
568	VJ008529	1.00	alias
569	VJ011759	1.00	alias
571	VJ013965	1.00	ja
584	VJ015188	1.00	ja
585	VJ015195	1.00	ja
586	VJ015194	1.00	ja
587	VJ013163	1.00	ja
588	VJ012351	1.00	ja
589	VJ011798	1.00	ja
590	VJ014803	1.00	ja
591	VJ010377	1.00	ja
592	VJ012604	1.00	ja
593	VJ010784	1.00	ja
594	VJ014808	1.00	ja
595	VJ015644	1.00	ja
601	VJ009245	1.00	ja
604	VJ005473	1.00	ja
606	RJ365062	1.00	ja
607	VJ006832	1.00	ja
608	RJ373005	1.00	ja
609	RJ01112520	1.00	ja
610	RJ01212507	1.00	en
611	RJ01060386	1.00	ja
612	RJ420175	1.00	alias
614	VJ011885	1.00	ja
615	VJ013773	1.00	ja
616	VJ007870	1.00	ja
625	RJ051173	1.00	ja
642	RJ083612	1.00	ja
646	VJ010686	1.00	ja
665	VJ012765	1.00	ja
666	VJ014099	1.00	ja
667	VJ014888	1.00	ja
671	VJ004282	1.00	ja
672	VJ012764	0.96	ja
676	RJ356899	1.00	ja
681	VJ008889	1.00	ja
686	VJ012485	1.00	ja
688	VJ012607	1.00	ja
689	VJ012808	1.00	ja
690	VJ013531	1.00	ja
712	VJ013932	1.00	ja
713	VJ014932	1.00	ja
714	VJ015675	1.00	ja
715	VJ011678	1.00	ja
716	VJ009745	1.00	ja
719	VJ012939	1.00	ja
728	VJ011308	1.00	ja
729	RJ01214934	1.00	ja
730	RJ262908	1.00	ja
731	RJ233889	1.00	ja
732	RJ185754	1.00	ja
733	RJ162097	1.00	ja
734	RJ079647	1.00	ja
735	RJ093972	1.00	ja
741	VJ008137	1.00	ja
742	VJ010806	1.00	ja
751	VJ010349	1.00	ja
754	VJ010273	1.00	ja
764	RJ280657	1.00	ja
765	VJ011811	1.00	ja
766	VJ010654	1.00	ja
769	RJ399143	1.00	ja
770	VJ011755	1.00	ja
778	RJ082257	1.00	ja
782	RJ382054	1.00	en
793	VJ010954	1.00	ja
800	VJ012558	1.00	ja
806	VJ006699	1.00	ja
807	RJ294560	1.00	ja
808	VJ004373	1.00	en
809	VJ005148	1.00	ja
813	RJ038558	1.00	ja
814	RJ042095	1.00	ja
815	RJ054062	1.00	ja
817	VJ008979	1.00	ja
820	VJ015804	1.00	ja
822	VJ010955	1.00	ja
823	VJ011205	1.00	ja
824	VJ011599	1.00	ja
825	VJ011985	1.00	ja
826	VJ012569	1.00	ja
827	VJ012570	1.00	ja
828	VJ013584	1.00	ja
829	VJ015118	1.00	ja
834	VJ003627	1.00	en
838	RJ249330	1.00	ja
839	VJ011271	1.00	ja
842	VJ009186	1.00	en
848	VJ008023	1.00	alias
849	VJ014860	1.00	en
862	VJ010098	1.00	ja
863	RJ408348	1.00	ja
864	VJ002520	1.00	ja
865	VJ003481	1.00	en
866	VJ002237	1.00	en
867	VJ002429	1.00	en
868	VJ006984	1.00	alias
869	VJ008888	1.00	alias
872	VJ006602	1.00	ja
874	VJ008694	1.00	ja
875	VJ009369	1.00	ja
880	VJ002789	1.00	en
884	VJ005277	1.00	ja
886	VJ004755	1.00	ja
892	RJ01318457	1.00	ja
893	VJ010188	1.00	ja
894	VJ009460	1.00	ja
895	VJ007073	1.00	ja
898	VJ007080	1.00	ja
899	VJ007533	1.00	ja
907	RJ01012429	1.00	ja
909	VJ010858	1.00	ja
910	VJ015595	1.00	ja
915	VJ010573	1.00	ja
916	VJ006640	1.00	ja
917	VJ014937	1.00	ja
920	VJ001237	1.00	alias
923	VJ005375	1.00	ja
926	VJ007463	1.00	ja
927	VJ010196	1.00	zh
928	VJ005373	0.62	ja
929	VJ011803	1.00	ja
930	VJ006843	1.00	ja
933	VJ014738	1.00	ja
935	VJ003995	1.00	alias
939	VJ009220	1.00	ja
941	VJ012466	1.00	ja
944	VJ006878	1.00	en
945	VJ001614	1.00	en
951	VJ014500	1.00	ja
955	VJ007495	1.00	ja
956	VJ009720	1.00	ja
962	RJ076967	1.00	ja
963	VJ012350	1.00	ja
964	VJ009608	1.00	ja
965	VJ013171	1.00	ja
966	VJ013522	1.00	ja
968	VJ005213	1.00	ja
969	RJ299604	1.00	ja
971	VJ006231	0.67	zh
972	RJ158166	1.00	ja
980	VJ007362	1.00	alias
982	VJ012571	1.00	ja
983	VJ013513	1.00	ja
988	VJ011597	1.00	ja
993	RJ250595	1.00	ja
997	VJ015617	1.00	ja
1002	VJ003809	1.00	ja
1010	VJ010438	1.00	ja
1013	RJ041947	1.00	ja
1014	RJ146230	1.00	ja
1021	VJ006929	1.00	ja
1023	VJ014640	1.00	ja
1027	RJ321730	1.00	ja
1028	VJ013815	1.00	ja
1029	VJ013813	1.00	ja
1030	VJ013814	1.00	ja
1031	VJ013816	1.00	ja
1033	RJ190193	1.00	ja
1034	RJ405243	1.00	ja
1035	RJ01015758	1.00	ja
1046	RJ173185	1.00	ja
1054	VJ014560	1.00	ja
1058	VJ001771	1.00	en
1075	VJ009832	1.00	ja
1082	VJ007750	1.00	ja
1084	VJ003490	1.00	ja
1087	RJ150384	1.00	ja
1088	RJ222062	1.00	ja
1089	RJ222970	1.00	ja
1090	RJ226128	1.00	ja
1091	RJ01186756	1.00	ja
1092	VJ012499	1.00	ja
1093	VJ010641	1.00	ja
1096	VJ008859	1.00	ja
1097	VJ014859	1.00	ja
1099	RJ301024	1.00	ja
1100	VJ006762	1.00	en
1101	VJ007374	1.00	alias
1110	VJ015261	1.00	ja
1114	VJ014658	1.00	ja
1117	VJ011421	1.00	ja
1120	RJ01189784	1.00	alias
1123	VJ012599	1.00	ja
1124	VJ010653	1.00	ja
1126	VJ008787	1.00	ja
1127	VJ007749	1.00	ja
1131	VJ007476	1.00	ja
1132	VJ007178	1.00	ja
1133	VJ014556	1.00	ja
1138	RJ296007	1.00	en
1139	VJ010966	1.00	ja
1140	VJ011457	1.00	ja
1142	VJ007927	1.00	ja
1144	VJ011392	1.00	zh
1150	VJ002025	1.00	ja
1152	RJ01341157	1.00	alias
1153	VJ007995	1.00	ja
1158	VJ010439	1.00	ja
1159	VJ011542	1.00	ja
1160	VJ011444	1.00	ja
1162	VJ006595	1.00	ja
1166	RJ01088788	1.00	ja
1170	VJ006209	1.00	ja
1172	VJ008933	0.97	ja
1177	VJ012919	1.00	zh
1179	VJ015025	1.00	ja
1180	VJ015404	1.00	ja
1182	VJ012407	1.00	ja
1183	VJ012082	1.00	ja
1186	RJ231948	1.00	ja
1187	VJ012401	1.00	alias
1188	VJ011568	1.00	alias
1190	RJ068350	1.00	ja
1192	RJ410787	1.00	ja
1195	VJ013654	1.00	ja
1196	VJ013653	1.00	ja
1197	VJ015377	1.00	ja
1200	VJ010487	1.00	ja
1210	VJ011615	1.00	ja
1217	VJ013727	1.00	ja
1219	VJ013728	1.00	ja
1220	VJ008161	1.00	ja
1221	VJ006886	1.00	ja
1222	VJ008261	1.00	ja
1227	VJ006569	1.00	ja
1228	VJ010510	1.00	ja
1233	VJ010331	1.00	ja
1235	VJ015588	0.92	ja
1237	VJ015694	1.00	ja
1241	RJ034739	1.00	ja
1242	VJ007356	1.00	ja
1251	VJ009810	1.00	en
1258	RJ01020541	1.00	ja
1267	VJ008117	1.00	ja
1269	VJ011262	1.00	ja
1270	VJ010508	1.00	ja
1271	VJ007259	1.00	ja
1274	VJ010219	1.00	ja
1275	VJ011375	1.00	ja
1276	VJ011451	1.00	ja
1277	VJ011592	1.00	ja
1278	VJ011725	1.00	ja
1280	VJ011977	1.00	ja
1281	VJ012064	1.00	ja
1282	VJ012209	1.00	ja
1283	VJ012325	1.00	ja
1284	VJ012432	1.00	ja
1285	VJ012670	1.00	ja
1286	VJ012879	1.00	ja
1287	VJ012993	1.00	ja
1288	VJ013122	1.00	ja
1289	VJ013689	1.00	ja
1290	VJ013891	1.00	ja
1291	VJ013961	1.00	ja
1292	VJ014634	1.00	ja
1293	VJ014782	1.00	ja
1294	VJ014933	1.00	ja
1295	VJ015125	1.00	ja
1296	VJ015653	1.00	ja
1297	VJ015784	1.00	ja
1303	VJ011648	1.00	ja
1304	VJ012877	1.00	ja
1315	RJ01222217	1.00	ja
1317	VJ012822	1.00	ja
1319	VJ011461	1.00	en
1320	VJ012980	1.00	ja
1323	VJ004746	1.00	ja
1324	VJ005696	1.00	ja
1328	VJ007312	1.00	ja
1329	VJ013486	1.00	ja
1330	VJ008011	1.00	ja
1331	VJ005215	1.00	ja
1332	VJ003950	1.00	ja
1333	VJ012271	1.00	ja
1335	RJ358705	1.00	en
1336	VJ013907	1.00	ja
1339	RJ01309156	1.00	ja
1341	VJ009437	1.00	ja
1345	VJ005108	1.00	ja
1346	VJ005370	1.00	ja
1347	VJ014374	1.00	ja
1348	RJ01294420	1.00	ja
1349	RJ111110	1.00	ja
1350	VJ004575	1.00	ja
1351	RJ291856	1.00	ja
1355	VJ013555	1.00	ja
1356	VJ009260	1.00	ja
1359	VJ001682	1.00	ja
1362	VJ010771	1.00	ja
1363	VJ014685	0.96	ja
1365	VJ002024	1.00	ja
1366	VJ014683	0.95	ja
1373	VJ014336	1.00	ja
1374	VJ010695	1.00	ja
1376	RJ047605	1.00	alias
1379	VJ010755	1.00	ja
1381	VJ007885	1.00	ja
1384	VJ013108	1.00	ja
1385	VJ014806	1.00	ja
1387	VJ010452	1.00	ja
1388	VJ014807	1.00	ja
1392	VJ014804	1.00	ja
1393	VJ014799	1.00	ja
1394	VJ014800	1.00	ja
1396	VJ014794	1.00	ja
1397	VJ011326	1.00	ja
1398	VJ014796	1.00	ja
1402	RJ328900	1.00	ja
1405	RJ031085	0.93	ja
1407	RJ047604	1.00	en
1409	RJ364465	1.00	ja
1416	RJ01239911	1.00	ja
1425	RJ01093457	1.00	ja
1427	VJ014934	1.00	ja
1431	VJ014098	1.00	ja
1433	VJ007508	1.00	ja
1440	VJ013933	1.00	ja
1447	VJ015387	1.00	ja
1456	RJ161756	1.00	ja
1458	VJ014021	1.00	ja
1461	VJ013398	1.00	alias
1464	RJ343825	1.00	ja
1465	VJ006332	1.00	ja
1466	VJ005023	1.00	ja
1467	VJ009277	1.00	ja
1468	VJ009820	1.00	ja
1469	VJ007923	1.00	ja
1471	VJ007799	1.00	ja
1476	VJ014550	1.00	ja
1479	VJ008500	1.00	ja
1480	VJ015690	1.00	ja
1481	VJ015705	1.00	ja
1483	VJ005251	1.00	ja
1484	RJ066016	1.00	ja
1485	VJ008445	1.00	ja
1489	VJ009542	1.00	ja
1494	RJ247186	1.00	en
1500	VJ011923	1.00	ja
1503	VJ005185	1.00	ja
1514	VJ005798	1.00	ja
1516	VJ006773	1.00	ja
1517	VJ011957	1.00	ja
1519	VJ002735	1.00	ja
1523	RJ272900	1.00	en
1524	RJ170840	1.00	en
1531	RJ204066	1.00	ja
1535	RJ126839	1.00	ja
1537	VJ008513	1.00	ja
1538	VJ006487	1.00	ja
1540	VJ015645	1.00	ja
1543	VJ009285	1.00	ja
1544	RJ219681	1.00	ja
1546	VJ010398	1.00	ja
1548	VJ010152	1.00	ja
1550	RJ174985	1.00	ja
1551	VJ012735	1.00	ja
1552	VJ012036	1.00	ja
1553	RJ298338	1.00	ja
1554	VJ015787	1.00	ja
1556	RJ01141121	1.00	ja
1564	VJ012676	1.00	ja
1565	RJ204938	1.00	ja
1566	RJ435614	1.00	ja
1567	VJ013564	1.00	ja
1568	RJ394799	1.00	ja
1569	RJ113708	1.00	ja
1570	RJ208246	1.00	ja
1572	VJ006571	1.00	ja
1573	VJ010346	1.00	ja
1575	VJ013720	1.00	ja
1576	RJ290194	1.00	ja
1578	VJ011156	1.00	ja
1581	RJ154958	1.00	ja
1583	VJ013583	1.00	ja
1585	RJ233623	0.91	ja
1588	RJ422703	1.00	ja
1589	RJ01088229	1.00	ja
1591	VJ008905	1.00	ja
1596	VJ012484	1.00	ja
1598	VJ004265	1.00	alias
1601	RJ01245269	1.00	ja
1603	RJ283039	1.00	ja
1605	VJ011541	1.00	ja
1606	VJ009451	1.00	ja
1608	VJ015386	1.00	ja
1613	VJ007827	1.00	ja
1614	VJ015291	1.00	ja
1615	RJ080563	1.00	alias
1616	VJ002890	1.00	ja
1617	VJ014725	1.00	ja
1618	VJ006764	1.00	ja
1619	RJ354914	1.00	ja
1620	RJ264149	1.00	ja
1621	VJ004869	1.00	ja
1622	VJ013622	1.00	ja
1624	RJ212553	1.00	ja
1626	VJ004756	1.00	ja
1628	VJ006117	1.00	ja
1632	RJ112139	1.00	ja
1634	VJ009350	1.00	alias
1641	VJ010418	1.00	ja
1642	VJ010417	1.00	ja
1644	VJ009515	1.00	ja
1647	VJ007241	1.00	alias
1648	VJ014965	1.00	ja
1650	VJ004581	1.00	ja
1651	VJ008453	0.73	zh
1653	VJ008116	1.00	ja
1657	RJ043317	1.00	ja
1659	VJ009499	1.00	ja
1664	VJ012981	1.00	zh
1666	VJ015103	1.00	ja
1667	VJ012444	1.00	ja
1669	VJ007085	1.00	ja
1670	VJ011088	1.00	ja
1674	RJ140035	1.00	ja
1676	VJ008973	1.00	ja
1677	VJ009470	1.00	ja
1679	VJ010478	1.00	ja
1680	RJ01208164	1.00	ja
1681	VJ013288	1.00	ja
1685	VJ011941	1.00	ja
1686	VJ013177	1.00	ja
1687	RJ01300224	1.00	ja
1690	VJ004554	1.00	ja
1691	VJ007240	1.00	ja
1692	RJ01037923	1.00	ja
1693	RJ146604	1.00	ja
1694	VJ015284	1.00	ja
1695	RJ01153311	1.00	ja
1696	VJ011029	1.00	ja
1697	VJ004701	1.00	alias
1698	VJ008985	1.00	ja
1699	VJ008029	1.00	ja
1701	VJ009847	1.00	ja
1703	VJ009665	1.00	ja
1708	VJ013662	1.00	ja
1709	VJ007498	1.00	alias
1710	RJ419937	1.00	ja
1711	VJ011816	1.00	ja
1714	VJ014495	1.00	ja
1716	VJ008980	1.00	ja
1730	VJ011067	1.00	ja
1734	VJ006030	1.00	ja
1736	VJ012838	1.00	ja
1737	VJ007628	1.00	ja
1739	RJ01026220	1.00	ja
1742	RJ124636	1.00	ja
1743	VJ014571	1.00	ja
1744	VJ006683	1.00	ja
1746	VJ010427	1.00	ja
1747	VJ011141	0.62	ja
1748	RJ332537	1.00	ja
1749	RJ332573	1.00	ja
1750	RJ393132	1.00	ja
1751	VJ003981	1.00	ja
1752	VJ005905	1.00	ja
1753	VJ006867	1.00	ja
1755	VJ008812	1.00	ja
1756	VJ009219	1.00	ja
1757	VJ006589	1.00	ja
1758	VJ006056	1.00	en
1759	VJ006532	1.00	ja
1761	RJ184864	1.00	ja
1763	VJ009664	1.00	ja
1768	RJ208421	1.00	ja
1771	VJ012574	1.00	ja
1772	VJ013483	1.00	ja
1779	RJ104472	1.00	ja
1784	VJ008873	1.00	ja
1788	VJ012926	1.00	ja
1789	VJ011683	1.00	ja
1790	RJ149874	1.00	ja
1791	VJ011825	1.00	ja
1792	VJ012990	1.00	ja
1793	VJ013575	1.00	ja
1794	VJ010244	1.00	ja
1796	RJ01303557	1.00	ja
1797	VJ004477	1.00	ja
1798	VJ005450	1.00	ja
1799	VJ012092	1.00	ja
1805	RJ049488	1.00	ja
1806	RJ087298	1.00	ja
1808	VJ010748	1.00	ja
1809	VJ009454	1.00	ja
1810	VJ009780	0.82	ja
1811	VJ010776	1.00	ja
1812	VJ008159	1.00	ja
1813	VJ009535	1.00	ja
1814	VJ011998	1.00	ja
1815	VJ009587	1.00	ja
1816	VJ008429	1.00	ja
1819	VJ010845	1.00	ja
1820	VJ011898	1.00	ja
1821	VJ012467	1.00	ja
1822	VJ009500	1.00	ja
1823	VJ013454	1.00	ja
1824	VJ004535	1.00	ja
1825	VJ011688	1.00	ja
1827	VJ009633	1.00	ja
1828	VJ010039	0.97	ja
1829	VJ010375	0.99	ja
1830	VJ012475	1.00	ja
1831	VJ012972	1.00	ja
1832	VJ013391	1.00	ja
1833	VJ013904	1.00	ja
1834	RJ240619	1.00	ja
1835	VJ008278	1.00	zh
1836	VJ008035	1.00	ja
1840	VJ010553	1.00	ja
1843	VJ011656	1.00	ja
1844	RJ01048672	1.00	ja
1845	RJ112466	1.00	ja
1847	VJ007994	1.00	ja
1849	VJ007853	1.00	ja
1850	RJ221906	1.00	ja
1851	VJ011520	1.00	en
1854	VJ011133	1.00	ja
1855	VJ011150	1.00	ja
1856	RJ188157	1.00	ja
1859	VJ007002	1.00	ja
1860	VJ008904	1.00	ja
1861	VJ009419	1.00	ja
1862	VJ008265	1.00	ja
1864	VJ007497	1.00	ja
1865	VJ008619	1.00	ja
1867	VJ012365	1.00	ja
1868	RJ238792	1.00	ja
1869	RJ223032	1.00	ja
1872	VJ011252	1.00	ja
1873	VJ010507	1.00	alias
1874	VJ009655	1.00	ja
1876	RJ119660	1.00	ja
1877	VJ009251	1.00	ja
1880	VJ004808	1.00	ja
1883	VJ009011	1.00	ja
1885	VJ008830	1.00	ja
1888	RJ169540	1.00	ja
1889	RJ112706	0.88	ja
1892	VJ009430	1.00	ja
1895	VJ013656	1.00	ja
1896	VJ013655	1.00	ja
1897	RJ273816	1.00	ja
1898	RJ260241	1.00	ja
1909	VJ014364	1.00	ja
1930	RJ082623	1.00	ja
1932	RJ157224	1.00	ja
1933	VJ014758	1.00	ja
1934	VJ013346	1.00	ja
1935	RJ023279	1.00	en
1938	VJ007677	1.00	ja
1940	RJ226879	0.71	ja
1942	RJ209044	1.00	ja
1945	VJ005037	1.00	ja
1949	VJ006175	0.79	ja
1951	VJ007583	1.00	ja
1956	VJ004412	1.00	ja
1960	RJ107807	1.00	alias
1961	VJ004337	1.00	en
1963	VJ014797	1.00	ja
1968	VJ010345	1.00	ja
1971	VJ009471	1.00	ja
1972	RJ01144406	1.00	ja
1973	VJ008956	1.00	ja
1975	VJ006197	1.00	ja
1976	VJ012363	1.00	ja
1977	VJ009936	1.00	ja
1979	RJ350820	1.00	ja
1981	RJ321194	1.00	ja
1982	RJ171858	1.00	ja
1983	RJ01069003	1.00	ja
1985	RJ01043101	1.00	ja
1986	VJ013376	1.00	ja
1988	VJ010562	1.00	ja
1989	VJ005907	1.00	ja
1991	VJ010419	1.00	ja
1994	VJ005231	1.00	ja
1995	VJ009980	1.00	ja
1996	RJ273731	1.00	ja
1997	RJ247646	1.00	ja
1998	VJ003906	1.00	ja
1999	RJ024441	1.00	ja
2000	VJ011819	1.00	ja
2001	RJ01197240	1.00	ja
2002	VJ007039	1.00	ja
2003	VJ012792	1.00	ja
2004	RJ01037636	1.00	ja
2005	RJ01094358	1.00	ja
2006	RJ281393	1.00	ja
2008	VJ003543	0.67	ja
2009	RJ164595	1.00	ja
2012	VJ013830	1.00	ja
2013	VJ012052	1.00	ja
2014	VJ006938	1.00	ja
2015	VJ011842	1.00	ja
2017	RJ021838	1.00	alias
2019	RJ093003	1.00	en
2020	VJ007969	1.00	ja
2021	VJ009318	1.00	ja
2023	VJ004197	1.00	ja
2025	VJ006586	1.00	ja
2027	RJ081887	1.00	ja
2029	RJ098769	1.00	ja
2030	VJ002824	1.00	alias
2033	VJ004745	1.00	ja
2035	RJ128539	1.00	ja
2036	VJ011852	1.00	ja
2038	VJ008961	1.00	ja
2041	RJ252911	1.00	ja
2043	RJ146888	1.00	ja
2044	VJ010640	1.00	ja
2045	VJ010692	1.00	ja
2046	VJ012290	1.00	ja
2048	VJ009391	1.00	ja
2050	VJ013576	1.00	ja
2052	VJ007522	1.00	ja
2054	VJ003446	1.00	ja
2059	RJ043090	1.00	ja
2062	RJ111167	1.00	ja
2064	VJ007977	1.00	ja
2074	VJ005395	1.00	ja
2076	VJ013993	1.00	ja
2077	VJ006903	1.00	zh
2080	VJ008262	1.00	ja
2082	VJ007788	1.00	ja
2086	VJ011032	1.00	ja
2101	VJ007937	1.00	ja
2102	VJ010033	1.00	ja
2104	VJ008259	1.00	ja
2106	VJ009825	1.00	ja
2110	VJ013261	1.00	ja
2114	VJ004739	1.00	ja
2116	VJ010405	1.00	ja
2119	RJ150181	1.00	ja
2121	RJ274366	1.00	ja
2122	VJ012278	1.00	ja
2127	VJ003579	1.00	ja
2129	VJ003335	1.00	zh
2130	VJ006403	1.00	alias
2131	RJ048759	1.00	ja
2133	RJ112298	1.00	ja
2135	VJ005768	1.00	ja
2136	RJ233486	1.00	ja
2137	RJ278209	1.00	ja
2139	RJ065032	1.00	ja
2145	VJ005974	1.00	ja
2147	RJ01062398	0.97	ja
2148	VJ007285	1.00	ja
2150	VJ012567	1.00	ja
2151	RJ01124512	1.00	ja
2153	VJ015782	1.00	ja
2157	VJ002825	1.00	ja
2160	VJ007955	1.00	ja
2163	RJ108621	1.00	ja
2165	VJ008340	1.00	ja
2167	VJ009472	0.61	ja
2168	VJ006786	1.00	ja
2171	VJ004564	1.00	ja
2172	VJ003459	1.00	ja
2175	VJ012913	1.00	ja
2177	VJ012522	1.00	ja
2181	RJ119826	1.00	ja
2182	RJ175016	1.00	ja
2185	VJ007976	1.00	ja
2187	VJ010841	1.00	ja
2189	VJ007248	1.00	ja
2190	VJ006783	1.00	ja
2191	VJ002810	1.00	ja
2192	VJ007735	1.00	ja
2193	VJ005222	1.00	ja
2194	RJ082746	1.00	ja
2195	RJ102171	1.00	ja
2196	VJ004737	1.00	ja
2198	VJ008268	1.00	ja
2199	VJ007691	1.00	ja
2200	RJ173418	1.00	ja
2207	VJ013146	1.00	ja
2212	VJ008639	1.00	ja
2213	RJ01105713	1.00	ja
2214	VJ010698	1.00	ja
2215	VJ012915	1.00	ja
2216	VJ013114	1.00	ja
2217	VJ012388	1.00	ja
2224	VJ007718	1.00	ja
